ID_STG_OPR_ITT,VLR_CTRD_CSC,QTD_PCL,VLR_SDO_DDR,QTD_CLI_CAD_POS,QTD_OPR,ID_FNT_ITT,ID_MDL,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO,QTD_OPR 
129,nan,25,nan,2,2,67,A99,F,2020-01-16,2020-01-27 10:49:48.15,2
130,120410000.0,134,64562028.0,9,14,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,14
131,189262470.0,104,48009094.0,12,12,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,12
132,nan,58,nan,349,408,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,408
133,nan,147,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
134,nan,79,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
135,104989494.0,25,56013999.0,28,30,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,30
136,nan,47,nan,379,405,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,405
137,nan,43,nan,129,138,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,138
138,nan,14,nan,7,8,67,B01,F,2020-01-16,2020-01-27 10:49:48.15,8
139,477875938.0,78,341986095.0,77,87,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,87
140,nan,28,nan,880,947,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,947
141,nan,188,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
142,nan,93,nan,5,5,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,5
143,nan,108,nan,2,8,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,8
144,333750000.0,131,115030812.0,16,24,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,24
145,59662071.0,35,16620648.0,11,13,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,13
146,nan,300,nan,269,269,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,269
147,nan,84,nan,101,132,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,132
148,nan,19,nan,3,3,67,A05,F,2020-01-16,2020-01-27 10:49:48.15,3
149,nan,82,nan,2,2,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,2
150,nan,171,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
151,nan,85,nan,205,243,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,243
152,nan,13,nan,8,8,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,8
153,nan,34,nan,232,241,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,241
154,nan,114,nan,5,15,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,15
155,274155000.0,142,112552807.0,17,21,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,21
156,nan,57,nan,564,649,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,649
157,nan,49,nan,123,131,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,131
158,nan,84,nan,1815,2469,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,2469
159,nan,258,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
160,nan,239,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
161,nan,60,nan,309,331,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,331
162,nan,340,nan,8,8,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,8
163,nan,50,nan,323,347,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,347
164,nan,303,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
165,202070000.0,165,146942161.0,9,10,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,10
166,nan,166,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
167,nan,21,nan,17,17,67,A99,F,2020-01-16,2020-01-27 10:49:48.15,17
168,nan,56,nan,461,528,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,528
169,nan,299,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
170,nan,120,nan,3,4,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,4
171,nan,297,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
172,62300000.0,159,47743078.0,7,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,7
173,nan,1,nan,8,8,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,8
174,nan,216,nan,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,4
175,480056500.0,56,233593825.0,112,119,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,119
176,32210000.0,112,5486375.0,3,3,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,3
177,185470157.0,86,52819667.0,11,14,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,14
178,nan,86,nan,5,5,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,5
179,nan,180,nan,16,17,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,17
180,nan,120,nan,1,1,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,1
181,651412368.0,61,322080328.0,130,145,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,145
182,nan,2,nan,28047,36217,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,36217
183,nan,175,nan,2,2,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,2
184,nan,140,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
