ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL
398,1078116812,2261,NMN,NMN
402,1247704324,2754,NMN,NMN
410,1509185166,2839,NMN,NMN
453,481984374,3349,NMN,NMN
461,586999171,2176,NMN,NMN
463,599036310,2482,NMN,NMN
572,364000702,1819,NMN,NMN
589,4059441968,1717,NMN,NMN
622,1405291400,1870,"PPRTPSJP S/M - PRJJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP","PPRTPSJP S/M - PRJJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP"
682,2953138986,2856,NMN,NMN
690,577309868,2771,NMN,NMN
699,1388458017,1751,NMN,NMN
732,282414268,2091,NMN,NMN
741,611486430,2227,NMN,NMN
791,2280464320,2856,NMN,NMN
792,2280470100,1853,NMN,NMN
845,7672750879,1802,NMN,NMN
925,2691678374,1853,PMRZMNM SM SPPVJJMJJ JJ PRJJVTP JVNMNPVMMJNTP J VNVJSTVMJNTP,PMRZMNM SM SPPVJJMJJ JJ PRJJVTP JVNMNPVMMJNTP J VNVJSTVMJNTP
931,1485103374,2550,NMN,NMN
935,967619685,2499,NMN,NMN
939,1508650227,2703,NMN,NMN
1003,280705700,2006,NMN,NMN
1021,1133325927,2210,NMN,NMN
1023,5012274390,2788,NMN,NMN
55,1988868522,2210,NMN,NMN
97,2353421214,3060,NMN,NMN
100,1617756397,1870,NMN,NMN
135,245524863,2329,NMN,NMN
139,1012357752,1768,NMN,NMN
208,19764421,1819,NMN,NMN
258,7166920537,1717,NMN,NMN
268,7176124031,2839,NMN,NMN
307,6921411858,2210,NMN,NMN
310,7377809617,1751,NMN,NMN
321,7617966305,2295,NMN,NMN
325,7565596037,2567,NMN,NMN
337,7337036919,3196,NMN,NMN
377,659545685,2193,NMN,NMN
396,1019708178,2567,NMN,NMN
406,1373245057,2516,NMN,NMN
443,508709938,2482,NMN,NMN
448,491199428,2193,NMN,NMN
454,5003890789,2465,NMN,NMN
462,697658716,3281,NMN,NMN
468,753222145,3009,NMN,NMN
497,1078651751,2397,NMN,NMN
523,1308902386,2890,NMN,NMN
576,3342316501,3264,NMN,NMN
603,464909965,1972,NMN,NMN
604,6499975007,3111,NMN,NMN
625,2153224556,3213,NMN,NMN
649,1044088796,6766,NMN,NMN
660,6101057903,5372,NMN,NMN
661,6101057903,6885,NMN,NMN
677,2557827157,2040,NMN,NMN
679,2749123771,1734,NMN,NMN
737,254848581,2380,NMN,NMN
742,734553323,2210,NMN,NMN
745,320142351,2210,NMN,NMN
774,211351480,1887,NMN,NMN
799,2215366203,1700,NMN,NMN
959,1539399827,2431,NMN,NMN
972,2083296093,1989,NMN,NMN
978,2726138445,3094,NMN,NMN
988,313952838,2363,NMN,NMN
143,2467424200,2686,NMN,NMN
165,3779392587,2958,NMN,NMN
201,9858133043,1904,VMVTPNP MMNPP JJ VNVJSTVMJNTP JP MRMSVL,VMVTPNP MMNPP JJ VNVJSTVMJNTP JP MRMSVL S.M.
204,120503752,1717,MMNPP VNTJR,MMNPP VNTJR S.M.
224,9371776966,2431,NMN,NMN
265,7337032295,3315,NMN,NMN
15,157206752,2788,ZNVPRJJ PJNTRML SP/PR,PPPPJRMTVVM PJNTRML JJ JPPNPMVM J PRÉJVTP MÚTZP JMS ZNVPRJJ’S JJ SMNTM PMTMRVNM J JP PMRMNÁ LTJM
19,3316758497,2363,MMNPP RMNJPN,MMNPP RMNJPN SM
25,8879203054,2754,MMNPP MPJML S.M.,MMNPP MPJML S.M.
31,9822472177,2261,MMNPP JJ VNVJSTVMJNTPS PRJJVT SZVSSJ (MRMSVL) S.M.,MMNPP JJ VNVJSTVMJNTPS PRJJVT SZVSSJ (MRMSVL) S.M.
78,2623348081,2125,NMN,NMN
145,2469754407,2652,NMN,NMN
168,4548968953,2618,NMN,NMN
171,3772241571,3383,NMN,NMN
212,9610498191,1700,NMN,NMN
216,960589760,3111,MMNPP MLJM S.M.,MMNPP MLJM S.M.
312,6260087378,2618,NMN,NMN
331,7380124796,2159,NMN,NMN
360,332956033,1870,NMN,NMN
384,831429302,2108,NMN,NMN
389,988318154,2958,NMN,NMN
397,1010674327,2533,NMN,NMN
399,1227489930,3213,NMN,NMN
412,1049900008,2720,NMN,NMN
413,1694098348,2414,NMN,NMN
441,5058332609,2397,NMN,NMN
474,301278743,2346,NMN,NMN
488,959631725,1700,NMN,NMN
531,2079156457,3009,NMN,NMN
553,2717474514,2635,NMN,NMN
555,1396926295,1700,NMN,NMN
564,148210471,1853,NMN,NMN
577,74917759,1938,NMN,NMN
585,880741661,2040,NMN,NMN
759,9723172644,1802,MMNPP JMTPR S/M,MMNPP JMTPR S/M
785,415901923,1717,NMN,NMN
829,879310533,2125,NMN,NMN
852,1296017610,1836,NMN,NMN
958,2423917562,1734,NMN,NMN
960,3248139204,1700,NMN,NMN
989,347090734,3230,NMN,NMN
1002,2171193420,1802,NMN,NMN
1014,2171604378,1853,NMN,NMN
1018,725746048,2210,NMN,NMN
359,232149943,3366,NMN,NMN
388,986321742,2074,NMN,NMN
405,1362832965,1751,NMN,NMN
417,2196170534,2193,NMN,NMN
442,7330084735,1751,NMN,NMN
449,5017483904,2295,NMN,NMN
455,201898001,3162,NMN,NMN
464,651514664,2686,NMN,NMN
477,807685929,3366,NMN,NMN
516,1558522090,2618,NMN,NMN
540,2541837365,1802,NMN,NMN
546,2760560079,3145,NMN,NMN
591,4310122591,3060,NMN,NMN
600,452584982,3383,NMN,NMN
630,667321230,5321,NMN,NMN
643,931375617,2210,NMN,NMN
647,1044088796,2142,NMN,NMN
674,1244535439,3162,NMN,NMN
684,695099621,2176,NMN,NMN
687,2979942002,1870,NMN,NMN
758,3089655072,2431,MMNK PJ PVVNM MRMSVL,MMNPP JM PVVNM MRMSVL S.M
895,1058331583,1853,NMN,NMN
936,887630554,1870,NMN,NMN
950,585439727,2397,NMN,NMN
961,2027769367,1734,NMN,NMN
971,2484672298,1870,NMN,NMN
987,9638329180,1700,NMN,NMN
38,9586863193,3366,MMNPP J. P. MPRPMN S.M.,MMNPP J. P. MPRPMN S.M.
41,1050289580,2805,MMNPP VPNJM,MMNPP VPNJM S/M.
69,2083110844,2550,NMN,NMN
82,1198290237,3128,NMN,NMN
140,1506130147,1853,NMN,NMN
144,2333621824,2907,NMN,NMN
147,3017299298,2618,NMN,NMN
155,5375386128,2363,NMN,NMN
173,4952984884,3383,NMN,NMN
175,4799764020,2193,NMN,NMN
227,9657255212,2023,NMN,NMN
235,1455557748,1700,NMN,NMN
294,19937243,3162,NMN,NMN
308,7439816879,2907,NMN,NMN
314,6547812021,2992,NMN,NMN
375,5620934978,2703,NMN,NMN
385,848303723,1700,NMN,NMN
409,1579076926,3111,NMN,NMN
416,2168086959,3230,NMN,NMN
440,5607215570,3213,NMN,NMN
456,479068942,1768,NMN,NMN
475,675874474,3060,NMN,NMN
490,1017060360,3315,NMN,NMN
502,1208465638,2873,NMN,NMN
507,1343658393,3145,NMN,NMN
511,712833528,1955,NMN,NMN
515,1516473168,2006,NMN,NMN
527,2030780747,2737,NMN,NMN
578,1612789065,3060,NMN,NMN
581,896531465,2261,NMN,NMN
592,4787065360,2703,NMN,NMN
596,1275748306,2261,NMN,NMN
657,1617756397,6494,NMN,NMN
658,6101057903,2618,NMN,NMN
736,1199958923,1802,NMN,NMN
751,21919783,2295,NMN,NMN
769,2031711905,3128,NMN,NMN
783,822515386,3043,NMN,NMN
798,1284870013,2550,NMN,NMN
828,7125260609,2074,NMN,NMN
885,1308013133,2618,NMN,NMN
954,6721157111,2108,NMN,NMN
964,892219007,3026,NMN,NMN
992,2473986812,2652,NMN,NMN
999,2157540771,2805,NMN,NMN
1015,1510693168,2720,NMN,NMN
93,332692754,2414,NMN,NMN
166,4203352119,2975,NMN,NMN
174,4953026500,3349,NMN,NMN
182,170270419,1802,NMN,NMN
237,9382987854,2601,NMN,NMN
240,9194619677,3383,NMN,NMN
245,348457704,2873,NMN,NMN
287,200678421,1904,NMN,NMN
290,489117472,3162,NMN,NMN
